ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"AEE","Ameren Corporation Common Stock","0001002910","4931","Electric & Other Services Combined","2017","FY","7.28%","0.07280066815144766","523000000","7184000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","971"
"AEP","American Electric Power Company Inc. Common Stock","0000004904","4911","Electric Services","2013","FY","9.20%","0.09201119055020206","1480000000","16085000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","819"
"AES","The AES Corporation Common Stock","0000874761","4991","Known Utility Exception","2024","FY","46.08%","0.4607574094401756","1679000000","3644000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","801"
"AESI","Atlas Energy Solutions Inc. Common Stock","0001984060","1311","Diversified Utility","2024","FY","5.78%","0.05782996770073204","59944000","1036556000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","671"
"ALE","Allete Inc.","0000066756","4931","Electric & Other Services Combined","2024","FY","6.30%","0.0629564606741573","179300000","2848000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1232"
"AM","Antero Midstream Corporation Common Stock","0001623925","4922","Natural Gas Transmission","2018","FY","0.22%","0.0021598829403795343","4939000","2286698000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","291"
"AMPY","Amplify Energy Corp. Common Stock","0001533924","1311","Diversified Utility","2024","FY","3.17%","0.031659623586492935","12946000","408912000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","566"
"APA","APA Corporation Common Stock","0001841666","1311","Diversified Utility","2024","FY","15.23%","0.15227272727272728","804000000","5280000000","us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic","us-gaap:StockholdersEquity","","722"
"AQN","Algonquin Power & Utilities Corp. Common Shares","0001174169","4911","Electric Services","2024","FY","-29.32%","-0.29323233209336846","-1380517000","4707929000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","628"
"AQNB","Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079","0001174169","4911","Electric Services","2024","FY","-29.32%","-0.29323233209336846","-1380517000","4707929000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","529"
"AR","Antero Resources Corporation Common Stock","0001433270","1311","Diversified Utility","2014","FY","15.42%","0.15416672274443616","675835000","4383793000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","461"
