ticker,cik,company_name,sic_code,sic_description,classification,classification_reason,fiscal_year_end,entity_type,exchanges,business_address
"AEE","0001002910","Ameren Corporation Common Stock","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE""]","{""street1"":""1901 CHOUTEAU AVE"",""street2"":""MC 1310"",""city"":""ST LOUIS"",""stateOrCountry"":""MO"",""zipCode"":""63166-6149"",""stateOrCountryDescription"":""MO"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AEP","0000004904","American Electric Power Company Inc. Common Stock","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","operating","[""Nasdaq""]","{""street1"":""1 RIVERSIDE PLAZA"",""street2"":null,""city"":""COLUMBUS"",""stateOrCountry"":""OH"",""zipCode"":""43215"",""stateOrCountryDescription"":""OH"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AES","0000874761","The AES Corporation Common Stock","4991","Cogeneration Services & Small Power Producers","Known Utility Exception","AES Corporation - Global power generation and utilities","1231","operating","[""NYSE""]","{""street1"":""4300 WILSON BOULEVARD"",""street2"":null,""city"":""ARLINGTON"",""stateOrCountry"":""VA"",""zipCode"":""22203"",""stateOrCountryDescription"":""VA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AESI","0001984060","Atlas Energy Solutions Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""5918 WEST COURTYARD DRIVE"",""street2"":""SUITE 500"",""city"":""AUSTIN"",""stateOrCountry"":""TX"",""zipCode"":""78730"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"ALE","0000066756","Allete Inc.","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE""]","{""street1"":""30 W SUPERIOR ST"",""street2"":null,""city"":""DULUTH"",""stateOrCountry"":""MN"",""zipCode"":""55802-2093"",""stateOrCountryDescription"":""MN"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AM","0001623925","Antero Midstream Corporation Common Stock","4922","Natural Gas Transmission","Natural Gas Transmission","Primary Utility SIC 4922: Natural Gas Transmission","1231","operating","[""NYSE""]","{""street1"":""1615 WYNKOOP STREET"",""street2"":null,""city"":""DENVER"",""stateOrCountry"":""CO"",""zipCode"":""80202"",""stateOrCountryDescription"":""CO"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AMPY","0001533924","Amplify Energy Corp. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""500 DALLAS STREET"",""street2"":""SUITE 1700"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77002"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"ANNA","0001845123","AleAnna Inc. Class A Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""Nasdaq"",""Nasdaq""]","{""street1"":""300 CRESCENT COURT, SUITE 1860"",""street2"":null,""city"":""DALLAS"",""stateOrCountry"":""TX"",""zipCode"":""75201"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"ANNAW","0001845123","AleAnna Inc. Warrant","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""Nasdaq"",""Nasdaq""]","{""street1"":""300 CRESCENT COURT, SUITE 1860"",""street2"":null,""city"":""DALLAS"",""stateOrCountry"":""TX"",""zipCode"":""75201"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"APA","0001841666","APA Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""Nasdaq""]","{""street1"":""2000 W SAM HOUSTON PKWY S"",""street2"":""SUITE 200"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77042"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
